,k,obs_mean,obs_max,obs_min,10_myr,20_myr,30_myr,40_myr,50_myr,60_myr,70_myr,80_myr
0,0.006204,0.13133333333333333,0.1471111111111111,0.11073333333333334,0.005935657759281936,0.0061739764338771975,0.006163540004672412,0.006101307393331764,0.005918013901723468,0.009678770853363425,0.014623796656505102,0.013716860240167555
1,0.006832,0.1391111111111111,0.15733333333333333,0.119,0.007443543106766907,0.007743767301876595,0.007731190322699895,0.007653152663738575,0.007430599889327905,0.009859826633157034,0.01357546290025502,0.014126681415449885
2,0.007524,0.14600000000000002,0.162,0.12588888888888888,0.00931740294775583,0.009694037071222916,0.00967865265450219,0.009581013205590308,0.00930493815302203,0.01036755263188739,0.012869695895556164,0.01481791449492193
3,0.008286,0.1511111111111111,0.1691111111111111,0.13077777777777777,0.011638403648532485,0.012109303619062825,0.0120904292628376,0.011968677008645226,0.011622181950733666,0.011340114032750405,0.012668362817408088,0.01596614327274343
4,0.009126,0.15422222222222223,0.173,0.13366666666666666,0.014433757812993966,0.015017979333981617,0.014994660385565963,0.014843670525812232,0.014417012436609694,0.01285357891941909,0.012902577890546062,0.017538429162043095
5,0.01005,0.15533333333333335,0.1738888888888889,0.13655555555555557,0.017805946016839016,0.018526663693250688,0.018498057476913205,0.018312012941914636,0.017787757396673272,0.015002714170392365,0.013810372163694804,0.019811525040180394
6,0.01107,0.1547777777777778,0.17322222222222222,0.13677777777777778,0.02183919711678934,0.02272308516732076,0.022688304031810016,0.02246054980943668,0.02181890998446328,0.017829089684783167,0.01541538207392981,0.02292337428167529
7,0.01219,0.1527777777777778,0.16966666666666666,0.1361111111111111,0.026389144606780754,0.027456834107556352,0.027414824222719354,0.027139865736323463,0.026377286346512412,0.021220920857324462,0.01753677119816757,0.02657061558381733
8,0.01342,0.1498888888888889,0.165,0.13522222222222222,0.03151564728210147,0.03279038532160427,0.03274045088312066,0.03241256863508503,0.03151473397413192,0.02517670806459263,0.020252425141778257,0.03100859334109906
9,0.01478,0.14633333333333332,0.16033333333333336,0.1328888888888889,0.0370526955009174,0.03855094584927428,0.03849253327750703,0.0381076301236189,0.0370698569784892,0.029564263607988372,0.023423936166440673,0.03602830951621137
10,0.01628,0.14255555555555557,0.15388888888888888,0.13066666666666665,0.04270198268708629,0.0444281596622927,0.04436117738692145,0.04391823955691713,0.04274523162005426,0.034154594214490894,0.0268872243759148,0.04137284517452778
11,0.01793,0.1388888888888889,0.14888888888888888,0.12777777777777777,0.0480483376983757,0.04999011685087995,0.04991510315911342,0.0494173826947924,0.04812530470992375,0.03863768835944175,0.030434661350722873,0.04668889646555106
12,0.01974,0.13522222222222222,0.14544444444444446,0.124,0.05259662267650546,0.05472173238595241,0.05463994177556789,0.054095734040139114,0.05271308700162775,0.04265114433700943,0.03383193242323852,0.051552715514357715
13,0.02174,0.13177777777777777,0.1411111111111111,0.12233333333333332,0.05592471343583104,0.058183903414074235,0.058097194666054376,0.05751907442471067,0.05608355084427379,0.045896819944873504,0.03690231935079892,0.05561054347746925
14,0.02395,0.12866666666666665,0.13777777777777778,0.11922222222222222,0.057671751243277294,0.060001263331926416,0.059911988442602745,0.05931615385537434,0.05787126119427285,0.04811798739300965,0.03949086513640002,0.058543970639895776
15,0.02637,0.12588888888888888,0.13466666666666666,0.11622222222222221,0.05772193998064758,0.060053394817109314,0.059964044483339536,0.05936780654775862,0.05795508227542851,0.04921921406346304,0.04151760523630565,0.06020322663905001
16,0.02904,0.12355555555555556,0.1331111111111111,0.11355555555555556,0.05761843562458383,0.05994611091010824,0.059856850223371304,0.059261452747147454,0.0579000056416819,0.05043829805256468,0.04338940285759454,0.06166825704472453
17,0.03198,0.12166666666666667,0.1322222222222222,0.11177777777777777,0.05347181385331396,0.05563203805580999,0.05554876175644214,0.05499573855356671,0.05373246491014192,0.04852292306324026,0.04402165588301214,0.06005200532957419
18,0.03522,0.12022222222222223,0.1318888888888889,0.10845555555555556,0.04988106040758632,0.05189681452960736,0.05181855402118941,0.05130170260055291,0.050127556971434416,0.047129006211666505,0.04458077600870689,0.058613942888657435
19,0.03879,0.11888888888888889,0.13155555555555556,0.10435555555555556,0.045928303842119954,0.047785313398426274,0.04771235022586015,0.04723478810360889,0.04613056432567638,0.045291140634786974,0.04452705812944614,0.056415663423212636
20,0.04272,0.11722222222222223,0.13233333333333333,0.09811111111111111,0.04197554727665359,0.0436738122672452,0.043606146430530894,0.043167873606664874,0.042133571679918345,0.04345327505790744,0.0444733402501854,0.05421738395776784
21,0.04704,0.11455555555555555,0.1331111111111111,0.08936666666666668,0.03820266676985421,0.039749680312087754,0.03968687277355649,0.03928561571964816,0.03829949439827387,0.04143197046455321,0.043768720377129,0.05155680145004267
22,0.05181,0.1105,0.13444444444444445,0.07731111111111111,0.03474732079465679,0.03615596418233291,0.03609753012095866,0.035729957376188066,0.03478513225270983,0.03940947631634816,0.042646707420404655,0.04875631087404847
23,0.05706,0.10501111111111111,0.13666666666666666,0.05507777777777778,0.0315245295042992,0.03280418830328526,0.032749855449710735,0.032413682970471897,0.031512703409986416,0.03732765944247822,0.041062209263443644,0.04577937721576224
24,0.06283,0.09871111111111111,0.14477777777777778,0.0,0.028634570536138684,0.029798660716920503,0.029748052795879856,0.029440084467497626,0.02858835325025412,0.03530311361688441,0.03916163491006342,0.04280383562403902
25,0.0692,0.09372222222222222,0.15722222222222224,0.0,0.026040642514015454,0.02710110054627857,0.027053908547790186,0.02677138467086429,0.025976673037949042,0.033345979868388956,0.0370367605707893,0.0398767768006538
26,0.07621,0.09455555555555555,0.17788888888888887,0.0,0.02361903844699923,0.02458279845106058,0.02453890037024222,0.024280369604578963,0.023552714332822237,0.031355636258654,0.03466223430223553,0.036907715686555494
